,Unnamed: 0,DR_NO,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,LOCATION,Cross Street,LAT,LON,year,month,hour,crime_type,theft,vehicular
641099,641099,231910933,1200,18,Mission,1060,0,17,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0321,26,2,7,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,17,9100 N  SEPULVEDA                    BL,BROADWAY,4475,1897,3,5,12,0,0,0
498705,498705,231914703,2300,18,Mission,1085,1,122,CRIMINAL THREATS - NO WEAPON DISPLAYED,1822 0421 0400,59,0,1,126,SINGLE FAMILY DWELLING,73,VERBAL THREAT,3,Invest Cont,123,7900    PEACHTREE                    AV,BROADWAY,4168,2220,3,8,23,0,0,0
129950,129950,200305996,1810,2,Southwest,141,0,22,"THEFT, PERSON",0319 0344 0400 0432 0910 1202 1822 2050 2052,70,0,2,279,MTA - EXPO LINE - EXPO PARK/USC,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,22,600    EXPOSITION                   BL,BROADWAY,2246,3705,0,1,18,0,1,0
543524,543524,230117689,1330,0,Central,20,0,17,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 2032 1608,29,2,12,18,"PORCH, RESIDENTIAL",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,17,600 E  2ND                          ST,BROADWAY,2503,4202,3,7,13,0,0,0
376244,376244,221219236,1913,11,77th Street,643,0,17,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0346 0342,46,0,7,1,SIDEWALK,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,17,58TH                         PL,DENKER,1915,3527,2,8,19,0,0,0
438486,438486,221114097,300,10,Northeast,569,0,13,BURGLARY,1402 0344 0321,54,0,17,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,13,2600    PRISMO                       DR,BROADWAY,3300,4304,2,8,3,0,1,0
391226,391226,220125392,1215,0,Central,6,0,17,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,19,0,17,161,PUBLIC RESTROOM(INDOORS-INSIDE),61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,17,800 N  ALAMEDA                      ST,BROADWAY,2592,4198,2,10,12,0,0,0
64554,64554,200612964,1330,5,Hollywood,288,1,74,"BUNCO, PETTY THEFT",0701 1822,57,0,7,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,75,6700    YUCCA                        ST,BROADWAY,3063,3199,0,6,13,0,1,0
108030,108030,201904754,150,18,Mission,1024,1,62,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0416 0408 1402,28,0,7,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",0,Adult Arrest,63,16600    FOOTHILL                     BL,BROADWAY,5215,1648,0,0,1,1,0,0
48323,48323,200518016,600,4,Harbor,264,1,60,BATTERY - SIMPLE ASSAULT,0400 0444 0913,29,2,7,139,GROUP HOME,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,61,400 W  2ND                          ST,BROADWAY,271,3712,0,11,6,1,0,0
619641,619641,231705988,2200,16,Devonshire,978,0,16,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385,55,0,17,0,STREET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,16,18500    SUNBURST                     ST,BROADWAY,4375,1203,3,1,22,0,0,0
677295,677295,240705840,1530,6,Wilshire,318,0,15,BURGLARY FROM VEHICLE,1300 1822 1307 0344,39,2,17,0,STREET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,15,700 N  SIERRA BONITA                AV,BROADWAY,2868,3030,4,1,15,0,0,1
11350,11350,200315820,2250,2,Southwest,121,1,60,BATTERY - SIMPLE ASSAULT,0913 0361 0603 0416 0446 0202,38,0,7,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1,Adult Other,61,2600 S  HARVARD                      BL,BROADWAY,2353,3506,0,7,22,1,0,0
517255,517255,232019555,1930,19,Olympic,1133,0,15,BURGLARY FROM VEHICLE,1822 0329 0344 0385 0358,25,2,7,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,15,1600 S  WILTON                       PL,BROADWAY,2467,3428,3,11,19,0,0,1
674104,674104,240607285,1148,5,Hollywood,292,1,136,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1822 1906 1501,25,0,17,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,137,1300 N  CURSON                       AV,BROADWAY,2975,3023,4,0,11,0,0,0
464450,464450,220321840,1900,2,Southwest,117,0,53,BIKE - STOLEN,0344 1822,22,2,12,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,54,1300 W  25TH                         ST,BROADWAY,2367,3683,2,11,19,0,1,0
72004,72004,201413461,2125,13,Pacific,757,0,53,BIKE - STOLEN,0344,30,0,17,162,OTHER PREMISE,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,54,5300    PLAYA VISTA                  DR,BROADWAY,1780,2292,0,0,21,0,1,0
615151,615151,231205562,1340,11,77th Street,647,1,60,BATTERY - SIMPLE ASSAULT,0913 0416,22,2,12,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,61,2000 W  65TH                         ST,BROADWAY,1837,3439,3,0,13,1,0,0
59601,59601,200117451,1300,0,Central,3,0,13,BURGLARY,0417 1822 0352 1414 0321 0344 0329 1601,35,0,2,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,13,500 N  FIGUEROA                     ST,BROADWAY,2646,4103,0,8,13,0,1,0
368624,368624,220810525,1300,7,West LA,437,1,26,THEFT OF IDENTITY,0930 1822,35,2,2,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,26,11100 W  PICO                         BL,BROADWAY,2401,2222,2,5,13,0,1,0
580767,580767,230909260,1900,8,Van Nuys,475,0,17,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,81,0,7,21,"VEHICLE, PASSENGER/TRUCK",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,17,BURBANK                      BL,VAN NUYS                     BL,3752,2086,3,4,19,0,0,0
205806,205806,211205898,1730,11,77th Street,655,1,96,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,1259 0943,15,0,1,0,STREET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",0,Adult Arrest,97,75TH,FIGUEROA                     ST,1748,3746,1,0,17,0,0,0
262757,262757,211008974,1330,9,West Valley,531,1,73,"BUNCO, GRAND THEFT",0701 0800,29,0,17,199,CYBERSPACE,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,74,6100    SHOSHONE                     AV,BROADWAY,3841,1410,1,5,13,0,1,0
109838,109838,201821726,2000,17,Southeast,1004,0,9,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0913 1813 0447 0416,24,0,2,0,STREET,62,UNKNOWN WEAPON/OTHER WEAPON,3,Invest Cont,9,FIGUEROA,108TH,1418,3747,0,11,20,1,0,0
28039,28039,201516618,1130,14,N Hollywood,830,0,28,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1420,40,2,12,22,PARKING UNDERGROUND/BUILDING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,28,11200    CAMARILLO                    ST,BROADWAY,3607,2816,0,9,11,0,0,1
279381,279381,210507795,2030,4,Harbor,273,1,60,BATTERY - SIMPLE ASSAULT,0446 0416 1822,45,2,17,20,YARD (RESIDENTIAL/BUSINESS),61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,61,2800 S  CAROLINA                     ST,BROADWAY,75,3666,1,3,20,1,0,0
19269,19269,201608523,1433,15,Foothill,868,1,59,BATTERY POLICE (SIMPLE),0416,29,2,17,8,PARK/PLAYGROUND,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",0,Adult Arrest,60,11800    FOOTHILL                     BL,BROADWAY,4765,2634,0,3,14,1,0,0
137822,137822,201114770,1530,10,Northeast,577,0,13,BURGLARY,0344,36,2,2,71,PUBLIC STORAGE,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,13,2800    LOS FELIZ                    PL,BROADWAY,3293,3946,0,9,15,0,1,0
610374,610374,230913525,1750,8,Van Nuys,463,1,61,OTHER ASSAULT,0356 0919 1300 1310,32,0,7,0,STREET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,62,VAN NUYS                     BL,VANOWEN                      ST,3970,2086,3,7,17,1,0,0
247378,247378,210619465,2300,5,Hollywood,279,1,107,TRESPASSING,1822 1501,83,0,17,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,108,1900 N  CURSON                       AV,BROADWAY,3087,3019,1,10,23,0,0,0
174493,174493,211805017,1520,17,Southeast,1005,0,16,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385 1300 0344 0329 1822 0342,48,2,7,0,STREET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1,Adult Other,16,10400    AVALON                       BL,BROADWAY,1450,3921,1,0,15,0,0,0
279284,279284,211915013,127,18,Mission,1076,0,4,ROBBERY,1822 2033 0906 1100 0430,25,2,7,0,STREET,1,HAND GUN,3,Invest Cont,4,8500    WILLIS                       AV,BROADWAY,4276,2020,1,9,1,1,0,0
252722,252722,210116735,2130,0,Central,20,1,79,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1307,24,0,7,21,"VEHICLE, PASSENGER/TRUCK",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,80,300 S  SANTA FE                     AV,BROADWAY,2451,4247,1,8,21,0,1,0
536031,536031,231311569,1900,12,Newton,675,0,15,BURGLARY FROM VEHICLE,1822 1302 1307 1609 0344,32,0,2,0,STREET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,15,300 E  WASHINGTON                   BL,BROADWAY,2331,3947,3,4,19,0,0,1
320380,320380,221610818,1200,15,Foothill,880,1,26,THEFT OF IDENTITY,1822,37,2,7,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,26,9700    HADDON                       AV,BROADWAY,4484,2396,2,6,12,0,1,0
473977,473977,221707808,1415,16,Devonshire,985,1,110,VIOLATION OF RESTRAINING ORDER,0913 2000 2038 1813,58,2,17,3,DRIVEWAY,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1,Adult Other,111,17400    CHASE                        ST,BROADWAY,4263,1452,2,3,14,0,0,0
121510,121510,201211638,1400,11,77th Street,650,0,38,THEFT PLAIN - PETTY ($950 & UNDER),0344,57,0,7,3,DRIVEWAY,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,39,7000    ESTRELLA                     AV,BROADWAY,1792,3724,0,3,14,0,1,0
289624,289624,210209977,1910,1,Rampart,83,0,65,ARSON,2060 2034 0202 1822,51,2,2,1,SIDEWALK,68,FIRE,3,Invest Cont,66,6TH,BEAUDRY,2562,3975,1,4,19,0,0,0
348143,348143,220716884,845,6,Wilshire,349,1,60,BATTERY - SIMPLE ASSAULT,0400 0913,47,2,2,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,61,1100 S  HUDSON                       AV,BROADWAY,2581,3215,2,10,8,1,0,0
184390,184390,211223417,215,11,77th Street,645,0,6,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0411 1822,44,2,2,0,STREET,36,AXE,3,Invest Cont,6,63RD                         ST,CRENSHAW                     BL,1860,3264,1,10,2,0,0,0
290031,290031,211914023,1930,18,Mission,1068,0,6,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 0361 0913 0416 2024 2033 1206,41,2,7,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",43,OTHER CUTTING INSTRUMENT,5,Juv Other,6,8900    BURNET                       AV,BROADWAY,4348,1940,1,9,19,0,0,0
